ID Pen Trait_1 Trait_2 Trait_3 Trait_4
F1578_4 1 -0.688262526564818 1.57855113181651 0.903732845244942 -2.32434185156005
F1750_4 1 1.82317635929724 -1.32326359498687 -1.67693139082983 -0.161877228866136
F1904_4 1 -0.0716414649626814 -0.709205441817009 1.39407874032832 -2.51296678367517
F2161_4 1 1.19358501299241 1.18297905940408 0.379119107091564 -1.76212268015931
F2631_4 1 1.53091229616681 1.81505405134547 0.951617136368071 0.128385047766142
M1633_4 1 -0.937382000707516 2.05254589332473 -2.7671375607097 0.60741094764123
M1850_4 1 -1.69672281658025 -1.13671007787847 0.181152354423163 1.38660600532041
M2285_4 1 -0.43589806852996 -1.77784634844098 -1.10762554441122 -1.02800095419851
M430_4 1 1.80583359596778 4.61488555207054 1.46474578799819 1.20455399957618
M551_4 1 -0.408334826625007 0.136795554099385 0.795568205698124 -0.116536439425165
M601_4 1 1.3124723334119 1.57351520234627 0.0470903374666568 1.26481794038235
M618_4 1 -0.4125061436895 -1.4725515092907 2.73106875393156 1.87358892298183
M822_4 1 0.355080290224198 1.9005967065031 0.741866979213494 -2.00359099057674
M956_4 1 2.3522015662495 1.18183232033633 -0.0899804378936243 1.64194711080234
F1857_4 2 1.41607485539698 1.83650127845904 0.827038222836086 -1.63531951089017
F185_4 2 -0.0755918791067304 -0.698526988379985 0.931226842149797 -2.30504826634989
F1957_4 2 0.251150284991605 -1.68343578663135 -0.22382855122919 0.85712829171524
F2139_4 2 -0.364606604636349 -0.898146530580355 -0.781096105595147 1.18994607891378
F2642_4 2 2.87470028836563 -1.22848332953574 -0.0884403540093308 -0.130413874226531
F350_4 2 -1.3821493508288 0.0324670313808381 -1.70260982564712 -3.06794777848868
F446_4 2 0.9566206877422 0.343313455342039 1.22737418541711 2.05038369854259
F459_4 2 -0.435916667398888 0.290584465949973 1.70037061929876 0.00544265757509865
F812_4 2 -1.12961283851612 0.120095202398053 0.303016553064685 -1.18623445538949
F837_4 2 -0.788653731580467 -0.42758904374229 -2.15159891010977 -1.04864101487129
F92_4 2 0.204696719595916 -1.29722170693096 -0.7786625189855 1.00058104580654
M2115_4 2 2.43546627246889 -0.0936968041187507 -1.55307190014129 0.756738757167665
M531_4 2 -1.09068837915377 0.556326091713007 -0.0478986258268413 -0.395327419091609
M535_4 2 -1.29419781829505 -1.62987241627245 -1.0087427011746 0.678721459610957
F1475_4 3 -0.606363778413905 0.00873165871801282 1.54488507801133 -0.608304436771043
F1807_4 3 -1.35572302648904 3.60355263139229 -0.167950370750084 -1.01053039680078
F1893_4 3 1.22848009181106 -0.461034541845185 -0.628867144422282 -1.01921235949295
F243_4 3 -0.642644660296549 -0.0888051434522343 2.18751592870965 -2.24844940560343
F2535_4 3 1.47988487816764 -0.199086399754827 -0.307227885528106 1.32785466047132
F341_4 3 -1.34747392311046 1.44398280341206 -1.16782943071802 -1.83507989587229
F788_4 3 -1.47180330267522 0.00386375827762042 0.222536259046468 -0.399845635122331
F870_4 3 -0.0307004385782458 0.965218705124732 1.62554076567383 1.33786443534202
F936_4 3 0.501084115283971 -0.412821886112396 -1.87402188771045 -2.94031713980478
M1565_4 3 -0.84943972652613 0.905420399546758 -0.0930703678990388 0.676827699636495
M172_4 3 -0.930566615591801 1.0031384446949 -0.412821682973368 0.603341877122461
M2001_4 3 -0.694548193964347 0.676618169449044 -0.289481842661044 0.654237948030389
M2287_4 3 1.84624300186699 0.399676733353306 -0.727568578358858 0.0559180798187598
M9_4 3 -1.13178199022555 0.318357659771648 -0.162391520065164 -1.17277875805248
F1114_4 4 0.694438010346231 -4.35412161656826 -0.0970340353982034 2.66106913769283
F435_4 4 -2.30491469563286 0.473874359252146 -1.21501885171507 -1.00067672781084
F60_4 4 -0.493919255286271 -0.171507823976518 -1.25508976213066 1.96690629782594
F915_4 4 1.74911489482865 0.664420030993799 -1.66347936830896 3.04833074063718
M1576_4 4 -1.18302866660112 0.726480775045738 1.41740995103024 3.23077260316795
M1760_4 4 -1.10348986333157 0.461654085394411 0.419136980307817 -0.297424019055312
M2093_4 4 0.12711026415872 -2.3956191795265 -0.175962647108343 -1.42629850236987
M210_4 4 -1.24546400301157 -0.583441876452299 0.655425622279959 1.26028252640531
M2137_4 4 1.23076136830968 0.34119213262057 -1.20539664904773 1.93537893968455
